"search_index","sort","result_count","return_count","bias_dimension","bias_result_count"
"191786","date_desc","6670","200","race","6"
"191786","date_desc","6670","200","sexual_minorities","1"
"191786","date_desc","6670","200","kids","48"
"191786","date_desc","6670","200","elderly","17"
"191786","date_desc","6670","200","women","34"
"191786","date_desc","6670","200","non_us","21"
"59334","date_desc","15252","200","race","1"
"59334","date_desc","15252","200","sexual_minorities","0"
"59334","date_desc","15252","200","kids","41"
"59334","date_desc","15252","200","elderly","3"
"59334","date_desc","15252","200","women","51"
"59334","date_desc","15252","200","non_us","20"
"59334","relevance","15252","200","race","4"
"59334","relevance","15252","200","sexual_minorities","0"
"59334","relevance","15252","200","kids","94"
"59334","relevance","15252","200","elderly","12"
"59334","relevance","15252","200","women","86"
"59334","relevance","15252","200","non_us","18"
"191786","relevance","6670","200","race","1"
"191786","relevance","6670","200","sexual_minorities","0"
"191786","relevance","6670","200","kids","36"
"191786","relevance","6670","200","elderly","12"
"191786","relevance","6670","200","women","6"
"191786","relevance","6670","200","non_us","14"
"942534","relevance","611","200","race","2"
"942534","relevance","611","200","sexual_minorities","0"
"942534","relevance","611","200","kids","35"
"942534","relevance","611","200","elderly","10"
"942534","relevance","611","200","women","4"
"942534","relevance","611","200","non_us","5"
"341260","relevance","10","10","race","0"
"341260","relevance","10","10","sexual_minorities","0"
"341260","relevance","10","10","kids","3"
"341260","relevance","10","10","elderly","0"
"341260","relevance","10","10","women","4"
"341260","relevance","10","10","non_us","9"
"942534","date_desc","611","200","race","4"
"942534","date_desc","611","200","sexual_minorities","0"
"942534","date_desc","611","200","kids","35"
"942534","date_desc","611","200","elderly","13"
"942534","date_desc","611","200","women","7"
"942534","date_desc","611","200","non_us","6"
"675467","relevance","29","29","race","0"
"675467","relevance","29","29","sexual_minorities","0"
"675467","relevance","29","29","kids","0"
"675467","relevance","29","29","elderly","0"
"675467","relevance","29","29","women","3"
"675467","relevance","29","29","non_us","1"
"675467","date_desc","29","29","race","0"
"675467","date_desc","29","29","sexual_minorities","0"
"675467","date_desc","29","29","kids","0"
"675467","date_desc","29","29","elderly","0"
"675467","date_desc","29","29","women","3"
"675467","date_desc","29","29","non_us","1"
"341260","date_desc","10","10","race","0"
"341260","date_desc","10","10","sexual_minorities","0"
"341260","date_desc","10","10","kids","3"
"341260","date_desc","10","10","elderly","0"
"341260","date_desc","10","10","women","4"
"341260","date_desc","10","10","non_us","9"
"1069728","date_desc","1527","200","race","0"
"1069728","date_desc","1527","200","sexual_minorities","0"
"1069728","date_desc","1527","200","kids","52"
"1069728","date_desc","1527","200","elderly","9"
"1069728","date_desc","1527","200","women","17"
"1069728","date_desc","1527","200","non_us","7"
"1069728","relevance","1527","200","race","0"
"1069728","relevance","1527","200","sexual_minorities","0"
"1069728","relevance","1527","200","kids","52"
"1069728","relevance","1527","200","elderly","7"
"1069728","relevance","1527","200","women","18"
"1069728","relevance","1527","200","non_us","3"
"1271658","relevance","1804","200","race","0"
"1271658","relevance","1804","200","sexual_minorities","0"
"1271658","relevance","1804","200","kids","25"
"1271658","relevance","1804","200","elderly","12"
"1271658","relevance","1804","200","women","9"
"1271658","relevance","1804","200","non_us","3"
"1044837","relevance","253","200","race","0"
"1044837","relevance","253","200","sexual_minorities","0"
"1044837","relevance","253","200","kids","1"
"1044837","relevance","253","200","elderly","9"
"1044837","relevance","253","200","women","3"
"1044837","relevance","253","200","non_us","11"
"1271658","date_desc","1804","200","race","1"
"1271658","date_desc","1804","200","sexual_minorities","0"
"1271658","date_desc","1804","200","kids","53"
"1271658","date_desc","1804","200","elderly","12"
"1271658","date_desc","1804","200","women","8"
"1271658","date_desc","1804","200","non_us","10"
"1044837","date_desc","253","200","race","0"
"1044837","date_desc","253","200","sexual_minorities","0"
"1044837","date_desc","253","200","kids","0"
"1044837","date_desc","253","200","elderly","10"
"1044837","date_desc","253","200","women","4"
"1044837","date_desc","253","200","non_us","12"
"397550","relevance","8387","200","race","0"
"397550","relevance","8387","200","sexual_minorities","0"
"397550","relevance","8387","200","kids","73"
"397550","relevance","8387","200","elderly","10"
"397550","relevance","8387","200","women","112"
"397550","relevance","8387","200","non_us","15"
"397550","date_desc","8387","200","race","1"
"397550","date_desc","8387","200","sexual_minorities","0"
"397550","date_desc","8387","200","kids","87"
"397550","date_desc","8387","200","elderly","9"
"397550","date_desc","8387","200","women","127"
"397550","date_desc","8387","200","non_us","48"
"287847","date_desc","0","0","race","200"
"287847","date_desc","0","0","sexual_minorities","200"
"287847","date_desc","0","0","kids","200"
"287847","date_desc","0","0","elderly","200"
"287847","date_desc","0","0","women","200"
"287847","date_desc","0","0","non_us","200"
"287847","relevance","0","0","race","200"
"287847","relevance","0","0","sexual_minorities","200"
"287847","relevance","0","0","kids","200"
"287847","relevance","0","0","elderly","200"
"287847","relevance","0","0","women","200"
"287847","relevance","0","0","non_us","200"
"78318","relevance","228","200","race","26"
"78318","relevance","228","200","sexual_minorities","1"
"78318","relevance","228","200","kids","137"
"78318","relevance","228","200","elderly","8"
"78318","relevance","228","200","women","196"
"78318","relevance","228","200","non_us","51"
"78318","date_desc","228","200","race","23"
"78318","date_desc","228","200","sexual_minorities","1"
"78318","date_desc","228","200","kids","137"
"78318","date_desc","228","200","elderly","10"
"78318","date_desc","228","200","women","196"
"78318","date_desc","228","200","non_us","51"
"465897","date_desc","311","200","race","24"
"465897","date_desc","311","200","sexual_minorities","0"
"465897","date_desc","311","200","kids","13"
"465897","date_desc","311","200","elderly","86"
"465897","date_desc","311","200","women","169"
"465897","date_desc","311","200","non_us","89"
"911879","relevance","24","24","race","0"
"911879","relevance","24","24","sexual_minorities","0"
"911879","relevance","24","24","kids","4"
"911879","relevance","24","24","elderly","4"
"911879","relevance","24","24","women","0"
"911879","relevance","24","24","non_us","5"
"465897","relevance","311","200","race","25"
