"search_index","sort","result_count","return_count","error_count","bias_dimension","bias_result_count"
"922703","relevance","26256","200","0","race","4"
"922703","relevance","26256","200","0","sexual_minorities","0"
"922703","relevance","26256","200","0","kids","37"
"922703","relevance","26256","200","0","elderly","38"
"922703","relevance","26256","200","0","women","35"
"922703","relevance","26256","200","0","non_us","26"
"449343","relevance","81910","200","0","race","0"
"449343","relevance","81910","200","0","sexual_minorities","0"
"449343","relevance","81910","200","0","kids","6"
"449343","relevance","81910","200","0","elderly","8"
"449343","relevance","81910","200","0","women","7"
"449343","relevance","81910","200","0","non_us","2"
"1137732","date_desc","72","72","0","race","1"
"1137732","date_desc","72","72","0","sexual_minorities","0"
"1137732","date_desc","72","72","0","kids","8"
"1137732","date_desc","72","72","0","elderly","4"
"1137732","date_desc","72","72","0","women","6"
"1137732","date_desc","72","72","0","non_us","1"
"1137732","relevance","72","72","0","race","1"
"1137732","relevance","72","72","0","sexual_minorities","0"
"1137732","relevance","72","72","0","kids","8"
"1137732","relevance","72","72","0","elderly","4"
"1137732","relevance","72","72","0","women","6"
"1137732","relevance","72","72","0","non_us","1"
"449343","date_desc","81910","200","0","race","0"
"449343","date_desc","81910","200","0","sexual_minorities","0"
"449343","date_desc","81910","200","0","kids","10"
"449343","date_desc","81910","200","0","elderly","3"
"449343","date_desc","81910","200","0","women","13"
"449343","date_desc","81910","200","0","non_us","5"
"567937","relevance","21","21","0","race","0"
"567937","relevance","21","21","0","sexual_minorities","0"
"567937","relevance","21","21","0","kids","1"
"567937","relevance","21","21","0","elderly","3"
"567937","relevance","21","21","0","women","0"
"567937","relevance","21","21","0","non_us","0"
"938762","relevance","112","112","0","race","1"
"938762","relevance","112","112","0","sexual_minorities","0"
"938762","relevance","112","112","0","kids","15"
"938762","relevance","112","112","0","elderly","1"
"938762","relevance","112","112","0","women","7"
"938762","relevance","112","112","0","non_us","7"
"938762","date_desc","112","112","0","race","1"
"938762","date_desc","112","112","0","sexual_minorities","0"
"938762","date_desc","112","112","0","kids","15"
"938762","date_desc","112","112","0","elderly","1"
"938762","date_desc","112","112","0","women","7"
"938762","date_desc","112","112","0","non_us","7"
"922703","date_desc","26256","200","0","race","0"
"922703","date_desc","26256","200","0","sexual_minorities","0"
"922703","date_desc","26256","200","0","kids","13"
"922703","date_desc","26256","200","0","elderly","19"
"922703","date_desc","26256","200","0","women","51"
"922703","date_desc","26256","200","0","non_us","6"
"567937","date_desc","21","21","0","race","0"
"567937","date_desc","21","21","0","sexual_minorities","0"
"567937","date_desc","21","21","0","kids","1"
"567937","date_desc","21","21","0","elderly","3"
"567937","date_desc","21","21","0","women","0"
"567937","date_desc","21","21","0","non_us","0"
"465606","date_desc","53","53","0","race","0"
"465606","date_desc","53","53","0","sexual_minorities","0"
"465606","date_desc","53","53","0","kids","38"
"465606","date_desc","53","53","0","elderly","2"
"465606","date_desc","53","53","0","women","9"
"465606","date_desc","53","53","0","non_us","9"
"740862","relevance","71","71","0","race","2"
"740862","relevance","71","71","0","sexual_minorities","0"
"740862","relevance","71","71","0","kids","0"
"740862","relevance","71","71","0","elderly","1"
"740862","relevance","71","71","0","women","0"
"740862","relevance","71","71","0","non_us","3"
"834956","relevance","635","200","0","race","9"
"834956","relevance","635","200","0","sexual_minorities","0"
"834956","relevance","635","200","0","kids","25"
"834956","relevance","635","200","0","elderly","61"
"834956","relevance","635","200","0","women","37"
"834956","relevance","635","200","0","non_us","42"
"740862","date_desc","71","71","0","race","2"
"740862","date_desc","71","71","0","sexual_minorities","0"
"740862","date_desc","71","71","0","kids","0"
"740862","date_desc","71","71","0","elderly","1"
"740862","date_desc","71","71","0","women","0"
"740862","date_desc","71","71","0","non_us","3"
"465606","relevance","53","53","0","race","0"
"465606","relevance","53","53","0","sexual_minorities","0"
"465606","relevance","53","53","0","kids","38"
"465606","relevance","53","53","0","elderly","2"
"465606","relevance","53","53","0","women","9"
"465606","relevance","53","53","0","non_us","9"
"834956","date_desc","635","200","0","race","17"
"834956","date_desc","635","200","0","sexual_minorities","0"
"834956","date_desc","635","200","0","kids","23"
"834956","date_desc","635","200","0","elderly","72"
"834956","date_desc","635","200","0","women","43"
"834956","date_desc","635","200","0","non_us","60"
"1043895","date_desc","3","3","0","race","0"
"1043895","date_desc","3","3","0","sexual_minorities","0"
"1043895","date_desc","3","3","0","kids","0"
"1043895","date_desc","3","3","0","elderly","0"
"1043895","date_desc","3","3","0","women","0"
"1043895","date_desc","3","3","0","non_us","0"
"587871","date_desc","11144","200","0","race","2"
"587871","date_desc","11144","200","0","sexual_minorities","0"
"587871","date_desc","11144","200","0","kids","44"
"587871","date_desc","11144","200","0","elderly","18"
"587871","date_desc","11144","200","0","women","44"
"587871","date_desc","11144","200","0","non_us","22"
"1043895","relevance","3","3","0","race","0"
"1043895","relevance","3","3","0","sexual_minorities","0"
"1043895","relevance","3","3","0","kids","0"
"1043895","relevance","3","3","0","elderly","0"
"1043895","relevance","3","3","0","women","0"
"1043895","relevance","3","3","0","non_us","0"
"587871","relevance","11144","200","0","race","0"
"587871","relevance","11144","200","0","sexual_minorities","0"
"587871","relevance","11144","200","0","kids","199"
"587871","relevance","11144","200","0","elderly","13"
"587871","relevance","11144","200","0","women","36"
"587871","relevance","11144","200","0","non_us","24"
"634823","relevance","234","200","0","race","0"
"634823","relevance","234","200","0","sexual_minorities","0"
"634823","relevance","234","200","0","kids","25"
"634823","relevance","234","200","0","elderly","9"
"634823","relevance","234","200","0","women","7"
"634823","relevance","234","200","0","non_us","9"
"634823","date_desc","234","200","0","race","0"
"634823","date_desc","234","200","0","sexual_minorities","0"
"634823","date_desc","234","200","0","kids","25"
"634823","date_desc","234","200","0","elderly","8"
"634823","date_desc","234","200","0","women","8"
"634823","date_desc","234","200","0","non_us","10"
"728555","relevance","351","200","0","race","7"
"728555","relevance","351","200","0","sexual_minorities","0"
"728555","relevance","351","200","0","kids","5"
"728555","relevance","351","200","0","elderly","57"
"728555","relevance","351","200","0","women","9"
"728555","relevance","351","200","0","non_us","0"
"495096","relevance","373104","200","0","race","11"
"495096","relevance","373104","200","0","sexual_minorities","0"
"495096","relevance","373104","200","0","kids","3"
"495096","relevance","373104","200","0","elderly","38"
"495096","relevance","373104","200","0","women","16"
"495096","relevance","373104","200","0","non_us","42"
"728555","date_desc","351","200","0","race","8"
"728555","date_desc","351","200","0","sexual_minorities","0"
"728555","date_desc","351","200","0","kids","2"
"728555","date_desc","351","200","0","elderly","60"
"728555","date_desc","351","200","0","women","14"
"728555","date_desc","351","200","0","non_us","0"
"495096","date_desc","373104","200","0","race","1"
"495096","date_desc","373104","200","0","sexual_minorities","0"
"495096","date_desc","373104","200","0","kids","18"
"495096","date_desc","373104","200","0","elderly","7"
"495096","date_desc","373104","200","0","women","15"
"495096","date_desc","373104","200","0","non_us","9"
"1028959","relevance","121","121","0","race","17"
"1028959","relevance","121","121","0","sexual_minorities","0"
"1028959","relevance","121","121","0","kids","117"
"1028959","relevance","121","121","0","elderly","12"
"1028959","relevance","121","121","0","women","48"
"1028959","relevance","121","121","0","non_us","33"
"458619","date_desc","433","200","0","race","1"
"458619","date_desc","433","200","0","sexual_minorities","0"
"458619","date_desc","433","200","0","kids","4"
"458619","date_desc","433","200","0","elderly","11"
"458619","date_desc","433","200","0","women","7"
"458619","date_desc","433","200","0","non_us","4"
"1028959","date_desc","121","121","0","race","17"
"1028959","date_desc","121","121","0","sexual_minorities","0"
"1028959","date_desc","121","121","0","kids","117"
"1028959","date_desc","121","121","0","elderly","12"
"1028959","date_desc","121","121","0","women","48"
"1028959","date_desc","121","121","0","non_us","33"
"458619","relevance","433","200","0","race","1"
"458619","relevance","433","200","0","sexual_minorities","0"
"458619","relevance","433","200","0","kids","3"
"458619","relevance","433","200","0","elderly","12"
"458619","relevance","433","200","0","women","7"
"458619","relevance","433","200","0","non_us","4"
"1241890","date_desc","274","200","0","race","4"
"1241890","date_desc","274","200","0","sexual_minorities","0"
"1241890","date_desc","274","200","0","kids","7"
"1241890","date_desc","274","200","0","elderly","110"
"1241890","date_desc","274","200","0","women","28"
"1241890","date_desc","274","200","0","non_us","80"
"1099242","relevance","259","200","0","race","0"
"1099242","relevance","259","200","0","sexual_minorities","0"
"1099242","relevance","259","200","0","kids","92"
"1099242","relevance","259","200","0","elderly","38"
"1099242","relevance","259","200","0","women","14"
"1099242","relevance","259","200","0","non_us","13"
"1099242","date_desc","259","200","0","race","1"
"1099242","date_desc","259","200","0","sexual_minorities","0"
"1099242","date_desc","259","200","0","kids","87"
"1099242","date_desc","259","200","0","elderly","38"
"1099242","date_desc","259","200","0","women","13"
"1099242","date_desc","259","200","0","non_us","12"
"1241890","relevance","274","200","0","race","6"
"1241890","relevance","274","200","0","sexual_minorities","0"
"1241890","relevance","274","200","0","kids","8"
"1241890","relevance","274","200","0","elderly","106"
"1241890","relevance","274","200","0","women","29"
"1241890","relevance","274","200","0","non_us","73"
"111334","relevance","356","200","0","race","0"
"111334","relevance","356","200","0","sexual_minorities","0"
"111334","relevance","356","200","0","kids","3"
"111334","relevance","356","200","0","elderly","1"
"111334","relevance","356","200","0","women","0"
"111334","relevance","356","200","0","non_us","30"
"111334","date_desc","356","200","0","race","0"
"111334","date_desc","356","200","0","sexual_minorities","0"
"111334","date_desc","356","200","0","kids","3"
"111334","date_desc","356","200","0","elderly","1"
"111334","date_desc","356","200","0","women","0"
"111334","date_desc","356","200","0","non_us","30"
"727444","relevance","22","22","0","race","0"
"727444","relevance","22","22","0","sexual_minorities","0"
"727444","relevance","22","22","0","kids","3"
"727444","relevance","22","22","0","elderly","4"
"727444","relevance","22","22","0","women","2"
"727444","relevance","22","22","0","non_us","2"
"727444","date_desc","22","22","0","race","0"
"727444","date_desc","22","22","0","sexual_minorities","0"
"727444","date_desc","22","22","0","kids","3"
"727444","date_desc","22","22","0","elderly","4"
"727444","date_desc","22","22","0","women","2"
"727444","date_desc","22","22","0","non_us","2"
"958085","relevance","2","2","0","race","0"
"958085","relevance","2","2","0","sexual_minorities","0"
"958085","relevance","2","2","0","kids","0"
"958085","relevance","2","2","0","elderly","1"
"958085","relevance","2","2","0","women","0"
"958085","relevance","2","2","0","non_us","0"
"958085","date_desc","2","2","0","race","0"
"958085","date_desc","2","2","0","sexual_minorities","0"
"958085","date_desc","2","2","0","kids","0"
"958085","date_desc","2","2","0","elderly","1"
"958085","date_desc","2","2","0","women","0"
"958085","date_desc","2","2","0","non_us","0"
"1102689","relevance","646","200","0","race","1"
"1102689","relevance","646","200","0","sexual_minorities","0"
"1102689","relevance","646","200","0","kids","15"
"1102689","relevance","646","200","0","elderly","11"
"1102689","relevance","646","200","0","women","3"
"1102689","relevance","646","200","0","non_us","3"
"188963","date_desc","0","0","0","race","200"
"188963","date_desc","0","0","0","sexual_minorities","200"
"188963","date_desc","0","0","0","kids","200"
"188963","date_desc","0","0","0","elderly","200"
"188963","date_desc","0","0","0","women","200"
"188963","date_desc","0","0","0","non_us","200"
"852508","relevance","29","29","0","race","0"
"852508","relevance","29","29","0","sexual_minorities","0"
"852508","relevance","29","29","0","kids","0"
"852508","relevance","29","29","0","elderly","0"
"852508","relevance","29","29","0","women","0"
"852508","relevance","29","29","0","non_us","0"
"188963","relevance","0","0","0","race","200"
"188963","relevance","0","0","0","sexual_minorities","200"
"188963","relevance","0","0","0","kids","200"
"188963","relevance","0","0","0","elderly","200"
"188963","relevance","0","0","0","women","200"
"188963","relevance","0","0","0","non_us","200"
"1102689","date_desc","646","200","0","race","0"
"1102689","date_desc","646","200","0","sexual_minorities","0"
"1102689","date_desc","646","200","0","kids","18"
"1102689","date_desc","646","200","0","elderly","6"
"1102689","date_desc","646","200","0","women","12"
"1102689","date_desc","646","200","0","non_us","4"
"644231","date_desc","319","200","0","race","16"
"644231","date_desc","319","200","0","sexual_minorities","0"
"644231","date_desc","319","200","0","kids","71"
"644231","date_desc","319","200","0","elderly","46"
"644231","date_desc","319","200","0","women","75"
"644231","date_desc","319","200","0","non_us","60"
"644231","relevance","319","200","0","race","11"
"644231","relevance","319","200","0","sexual_minorities","0"
"644231","relevance","319","200","0","kids","70"
"644231","relevance","319","200","0","elderly","39"
"644231","relevance","319","200","0","women","65"
"644231","relevance","319","200","0","non_us","50"
"4679","relevance","7950","200","0","race","4"
"4679","relevance","7950","200","0","sexual_minorities","0"
"4679","relevance","7950","200","0","kids","58"
"4679","relevance","7950","200","0","elderly","37"
"4679","relevance","7950","200","0","women","39"
"4679","relevance","7950","200","0","non_us","51"
"852508","date_desc","29","29","0","race","0"
"852508","date_desc","29","29","0","sexual_minorities","0"
"852508","date_desc","29","29","0","kids","0"
"852508","date_desc","29","29","0","elderly","0"
"852508","date_desc","29","29","0","women","0"
"852508","date_desc","29","29","0","non_us","0"
"4679","date_desc","7950","200","0","race","5"
"4679","date_desc","7950","200","0","sexual_minorities","0"
"4679","date_desc","7950","200","0","kids","34"
"4679","date_desc","7950","200","0","elderly","36"
"4679","date_desc","7950","200","0","women","43"
"4679","date_desc","7950","200","0","non_us","35"
"23715","relevance","147","147","0","race","0"
"23715","relevance","147","147","0","sexual_minorities","0"
"23715","relevance","147","147","0","kids","15"
"23715","relevance","147","147","0","elderly","24"
"23715","relevance","147","147","0","women","8"
"23715","relevance","147","147","0","non_us","4"
"482787","date_desc","52","52","0","race","1"
"482787","date_desc","52","52","0","sexual_minorities","0"
"482787","date_desc","52","52","0","kids","6"
"482787","date_desc","52","52","0","elderly","16"
"482787","date_desc","52","52","0","women","13"
"482787","date_desc","52","52","0","non_us","23"
"23715","date_desc","147","147","0","race","0"
"23715","date_desc","147","147","0","sexual_minorities","0"
"23715","date_desc","147","147","0","kids","15"
"23715","date_desc","147","147","0","elderly","24"
"23715","date_desc","147","147","0","women","8"
"23715","date_desc","147","147","0","non_us","4"
"482787","relevance","52","52","0","race","1"
"482787","relevance","52","52","0","sexual_minorities","0"
"482787","relevance","52","52","0","kids","6"
"482787","relevance","52","52","0","elderly","16"
"482787","relevance","52","52","0","women","13"
"482787","relevance","52","52","0","non_us","23"
"747693","relevance","5732","200","0","race","0"
"747693","relevance","5732","200","0","sexual_minorities","0"
"747693","relevance","5732","200","0","kids","10"
"747693","relevance","5732","200","0","elderly","2"
"747693","relevance","5732","200","0","women","8"
"747693","relevance","5732","200","0","non_us","2"
"787720","relevance","4","4","0","race","0"
"787720","relevance","4","4","0","sexual_minorities","0"
"787720","relevance","4","4","0","kids","4"
"787720","relevance","4","4","0","elderly","1"
"787720","relevance","4","4","0","women","1"
"787720","relevance","4","4","0","non_us","1"
"787720","date_desc","4","4","0","race","0"
"787720","date_desc","4","4","0","sexual_minorities","0"
"787720","date_desc","4","4","0","kids","4"
"787720","date_desc","4","4","0","elderly","1"
"787720","date_desc","4","4","0","women","1"
"787720","date_desc","4","4","0","non_us","1"
"747693","date_desc","5732","200","0","race","0"
