"search_index","sort","result_count","return_count","error_count","bias_dimension","bias_result_count"
"1125723","date_desc","115","115","0","race","5"
"1125723","date_desc","115","115","0","sexual_minorities","0"
"1125723","date_desc","115","115","0","kids","8"
"1125723","date_desc","115","115","0","elderly","29"
"1125723","date_desc","115","115","0","women","7"
"1125723","date_desc","115","115","0","non_us","10"
"681521","relevance","41","41","0","race","0"
"681521","relevance","41","41","0","sexual_minorities","0"
"681521","relevance","41","41","0","kids","1"
"681521","relevance","41","41","0","elderly","8"
"681521","relevance","41","41","0","women","16"
"681521","relevance","41","41","0","non_us","12"
"481626","relevance","0","0","0","race","200"
"481626","relevance","0","0","0","sexual_minorities","200"
"481626","relevance","0","0","0","kids","200"
"481626","relevance","0","0","0","elderly","200"
"481626","relevance","0","0","0","women","200"
"481626","relevance","0","0","0","non_us","200"
"481626","date_desc","0","0","0","race","200"
"481626","date_desc","0","0","0","sexual_minorities","200"
"481626","date_desc","0","0","0","kids","200"
"481626","date_desc","0","0","0","elderly","200"
"481626","date_desc","0","0","0","women","200"
"481626","date_desc","0","0","0","non_us","200"
"1125723","relevance","115","115","0","race","5"
"1125723","relevance","115","115","0","sexual_minorities","0"
"1125723","relevance","115","115","0","kids","8"
"1125723","relevance","115","115","0","elderly","29"
"1125723","relevance","115","115","0","women","7"
"1125723","relevance","115","115","0","non_us","10"
"681521","date_desc","41","41","0","race","0"
"681521","date_desc","41","41","0","sexual_minorities","0"
"681521","date_desc","41","41","0","kids","1"
"681521","date_desc","41","41","0","elderly","8"
"681521","date_desc","41","41","0","women","16"
"681521","date_desc","41","41","0","non_us","12"
"499332","date_desc","17","17","0","race","0"
"499332","date_desc","17","17","0","sexual_minorities","0"
"499332","date_desc","17","17","0","kids","11"
"499332","date_desc","17","17","0","elderly","0"
"499332","date_desc","17","17","0","women","15"
"499332","date_desc","17","17","0","non_us","6"
"253649","relevance","0","0","0","race","200"
"253649","relevance","0","0","0","sexual_minorities","200"
"253649","relevance","0","0","0","kids","200"
"253649","relevance","0","0","0","elderly","200"
"253649","relevance","0","0","0","women","200"
"253649","relevance","0","0","0","non_us","200"
"253649","date_desc","0","0","0","race","200"
"253649","date_desc","0","0","0","sexual_minorities","200"
"253649","date_desc","0","0","0","kids","200"
"253649","date_desc","0","0","0","elderly","200"
"253649","date_desc","0","0","0","women","200"
"253649","date_desc","0","0","0","non_us","200"
"499332","relevance","17","17","0","race","0"
"499332","relevance","17","17","0","sexual_minorities","0"
"499332","relevance","17","17","0","kids","11"
"499332","relevance","17","17","0","elderly","0"
"499332","relevance","17","17","0","women","15"
"499332","relevance","17","17","0","non_us","6"
"302435","relevance","3","3","0","race","0"
"302435","relevance","3","3","0","sexual_minorities","0"
"302435","relevance","3","3","0","kids","3"
"302435","relevance","3","3","0","elderly","0"
"302435","relevance","3","3","0","women","1"
"302435","relevance","3","3","0","non_us","1"
"302435","date_desc","3","3","0","race","0"
"302435","date_desc","3","3","0","sexual_minorities","0"
"302435","date_desc","3","3","0","kids","3"
"302435","date_desc","3","3","0","elderly","0"
"302435","date_desc","3","3","0","women","1"
"302435","date_desc","3","3","0","non_us","1"
"907624","relevance","812","200","0","race","0"
"907624","relevance","812","200","0","sexual_minorities","0"
"907624","relevance","812","200","0","kids","22"
"907624","relevance","812","200","0","elderly","4"
"907624","relevance","812","200","0","women","0"
"907624","relevance","812","200","0","non_us","28"
"907624","date_desc","812","200","0","race","0"
"907624","date_desc","812","200","0","sexual_minorities","0"
"907624","date_desc","812","200","0","kids","23"
"907624","date_desc","812","200","0","elderly","2"
"907624","date_desc","812","200","0","women","0"
"907624","date_desc","812","200","0","non_us","17"
"737829","relevance","15524","200","0","race","0"
"737829","relevance","15524","200","0","sexual_minorities","0"
"737829","relevance","15524","200","0","kids","6"
"737829","relevance","15524","200","0","elderly","0"
"737829","relevance","15524","200","0","women","1"
"737829","relevance","15524","200","0","non_us","5"
"737829","date_desc","15524","200","0","race","0"
"737829","date_desc","15524","200","0","sexual_minorities","0"
"737829","date_desc","15524","200","0","kids","2"
"737829","date_desc","15524","200","0","elderly","0"
"737829","date_desc","15524","200","0","women","0"
"737829","date_desc","15524","200","0","non_us","7"
"263900","relevance","644","200","0","race","7"
"263900","relevance","644","200","0","sexual_minorities","0"
"263900","relevance","644","200","0","kids","21"
"263900","relevance","644","200","0","elderly","106"
"263900","relevance","644","200","0","women","76"
"263900","relevance","644","200","0","non_us","56"
"1065837","date_desc","2","2","0","race","0"
"1065837","date_desc","2","2","0","sexual_minorities","0"
"1065837","date_desc","2","2","0","kids","0"
"1065837","date_desc","2","2","0","elderly","0"
"1065837","date_desc","2","2","0","women","0"
"1065837","date_desc","2","2","0","non_us","0"
"1065837","relevance","2","2","0","race","0"
"1065837","relevance","2","2","0","sexual_minorities","0"
"1065837","relevance","2","2","0","kids","0"
"1065837","relevance","2","2","0","elderly","0"
"1065837","relevance","2","2","0","women","0"
"1065837","relevance","2","2","0","non_us","0"
"263900","date_desc","644","200","0","race","9"
"263900","date_desc","644","200","0","sexual_minorities","0"
"263900","date_desc","644","200","0","kids","20"
"263900","date_desc","644","200","0","elderly","84"
"263900","date_desc","644","200","0","women","96"
"263900","date_desc","644","200","0","non_us","61"
"185882","relevance","29","29","0","race","1"
"185882","relevance","29","29","0","sexual_minorities","0"
"185882","relevance","29","29","0","kids","7"
"185882","relevance","29","29","0","elderly","2"
"185882","relevance","29","29","0","women","4"
"185882","relevance","29","29","0","non_us","11"
"185882","date_desc","29","29","0","race","1"
"185882","date_desc","29","29","0","sexual_minorities","0"
"185882","date_desc","29","29","0","kids","7"
"185882","date_desc","29","29","0","elderly","2"
"185882","date_desc","29","29","0","women","4"
"185882","date_desc","29","29","0","non_us","11"
"313396","relevance","127","127","0","race","0"
"313396","relevance","127","127","0","sexual_minorities","0"
"313396","relevance","127","127","0","kids","8"
"313396","relevance","127","127","0","elderly","1"
"313396","relevance","127","127","0","women","0"
"313396","relevance","127","127","0","non_us","0"
"232810","date_desc","375","200","0","race","8"
"232810","date_desc","375","200","0","sexual_minorities","0"
"232810","date_desc","375","200","0","kids","199"
"232810","date_desc","375","200","0","elderly","21"
"232810","date_desc","375","200","0","women","126"
"232810","date_desc","375","200","0","non_us","42"
"232810","relevance","375","200","0","race","11"
"232810","relevance","375","200","0","sexual_minorities","0"
"232810","relevance","375","200","0","kids","199"
"232810","relevance","375","200","0","elderly","26"
"232810","relevance","375","200","0","women","124"
"232810","relevance","375","200","0","non_us","41"
"313396","date_desc","127","127","0","race","0"
"313396","date_desc","127","127","0","sexual_minorities","0"
"313396","date_desc","127","127","0","kids","8"
"313396","date_desc","127","127","0","elderly","1"
"313396","date_desc","127","127","0","women","0"
"313396","date_desc","127","127","0","non_us","0"
"325467","date_desc","41","41","0","race","0"
"325467","date_desc","41","41","0","sexual_minorities","0"
"325467","date_desc","41","41","0","kids","10"
"325467","date_desc","41","41","0","elderly","5"
"325467","date_desc","41","41","0","women","0"
"325467","date_desc","41","41","0","non_us","1"
"325467","relevance","41","41","0","race","0"
"325467","relevance","41","41","0","sexual_minorities","0"
"325467","relevance","41","41","0","kids","10"
"325467","relevance","41","41","0","elderly","5"
"325467","relevance","41","41","0","women","0"
"325467","relevance","41","41","0","non_us","1"
"852372","relevance","72","72","0","race","0"
"852372","relevance","72","72","0","sexual_minorities","0"
"852372","relevance","72","72","0","kids","2"
"852372","relevance","72","72","0","elderly","23"
"852372","relevance","72","72","0","women","13"
"852372","relevance","72","72","0","non_us","3"
"852372","date_desc","72","72","0","race","0"
"852372","date_desc","72","72","0","sexual_minorities","0"
"852372","date_desc","72","72","0","kids","2"
"852372","date_desc","72","72","0","elderly","23"
"852372","date_desc","72","72","0","women","13"
"852372","date_desc","72","72","0","non_us","3"
"583764","relevance","81","81","0","race","0"
"583764","relevance","81","81","0","sexual_minorities","0"
"583764","relevance","81","81","0","kids","13"
"583764","relevance","81","81","0","elderly","20"
"583764","relevance","81","81","0","women","6"
"583764","relevance","81","81","0","non_us","3"
"1070880","relevance","2207","200","0","race","0"
"1070880","relevance","2207","200","0","sexual_minorities","0"
"1070880","relevance","2207","200","0","kids","8"
"1070880","relevance","2207","200","0","elderly","5"
"1070880","relevance","2207","200","0","women","0"
"1070880","relevance","2207","200","0","non_us","1"
"583764","date_desc","81","81","0","race","0"
"583764","date_desc","81","81","0","sexual_minorities","0"
"583764","date_desc","81","81","0","kids","13"
"583764","date_desc","81","81","0","elderly","20"
"583764","date_desc","81","81","0","women","6"
"583764","date_desc","81","81","0","non_us","3"
"1070880","date_desc","2207","200","0","race","0"
"1070880","date_desc","2207","200","0","sexual_minorities","0"
"1070880","date_desc","2207","200","0","kids","11"
"1070880","date_desc","2207","200","0","elderly","9"
"1070880","date_desc","2207","200","0","women","0"
"1070880","date_desc","2207","200","0","non_us","7"
"640603","relevance","53","53","0","race","0"
"640603","relevance","53","53","0","sexual_minorities","0"
"640603","relevance","53","53","0","kids","6"
"640603","relevance","53","53","0","elderly","1"
"640603","relevance","53","53","0","women","1"
"640603","relevance","53","53","0","non_us","7"
"640603","date_desc","53","53","0","race","0"
"640603","date_desc","53","53","0","sexual_minorities","0"
"640603","date_desc","53","53","0","kids","6"
"640603","date_desc","53","53","0","elderly","1"
"640603","date_desc","53","53","0","women","1"
"640603","date_desc","53","53","0","non_us","7"
"49956","relevance","1251","200","0","race","23"
"49956","relevance","1251","200","0","sexual_minorities","0"
"49956","relevance","1251","200","0","kids","123"
"49956","relevance","1251","200","0","elderly","28"
"49956","relevance","1251","200","0","women","75"
"49956","relevance","1251","200","0","non_us","42"
"49956","date_desc","1251","200","0","race","19"
"49956","date_desc","1251","200","0","sexual_minorities","0"
"49956","date_desc","1251","200","0","kids","117"
"49956","date_desc","1251","200","0","elderly","17"
"49956","date_desc","1251","200","0","women","72"
"49956","date_desc","1251","200","0","non_us","52"
"311484","relevance","0","0","0","race","200"
"311484","relevance","0","0","0","sexual_minorities","200"
"311484","relevance","0","0","0","kids","200"
"311484","relevance","0","0","0","elderly","200"
"311484","relevance","0","0","0","women","200"
"311484","relevance","0","0","0","non_us","200"
"311484","date_desc","0","0","0","race","200"
"311484","date_desc","0","0","0","sexual_minorities","200"
"311484","date_desc","0","0","0","kids","200"
"311484","date_desc","0","0","0","elderly","200"
"311484","date_desc","0","0","0","women","200"
"311484","date_desc","0","0","0","non_us","200"
"960769","relevance","954","200","0","race","1"
"960769","relevance","954","200","0","sexual_minorities","0"
"960769","relevance","954","200","0","kids","10"
"960769","relevance","954","200","0","elderly","8"
"960769","relevance","954","200","0","women","14"
"960769","relevance","954","200","0","non_us","20"
"960769","date_desc","954","200","0","race","1"
"960769","date_desc","954","200","0","sexual_minorities","0"
"960769","date_desc","954","200","0","kids","6"
"960769","date_desc","954","200","0","elderly","5"
"960769","date_desc","954","200","0","women","8"
"960769","date_desc","954","200","0","non_us","18"
"525155","relevance","334","200","0","race","1"
"525155","relevance","334","200","0","sexual_minorities","0"
"525155","relevance","334","200","0","kids","14"
"525155","relevance","334","200","0","elderly","4"
"525155","relevance","334","200","0","women","1"
"525155","relevance","334","200","0","non_us","0"
"525155","date_desc","334","200","0","race","1"
"525155","date_desc","334","200","0","sexual_minorities","0"
"525155","date_desc","334","200","0","kids","19"
"525155","date_desc","334","200","0","elderly","5"
"525155","date_desc","334","200","0","women","1"
"525155","date_desc","334","200","0","non_us","1"
"1101032","relevance","67","67","0","race","0"
"1101032","relevance","67","67","0","sexual_minorities","0"
"1101032","relevance","67","67","0","kids","2"
"1101032","relevance","67","67","0","elderly","33"
"1101032","relevance","67","67","0","women","11"
"1101032","relevance","67","67","0","non_us","7"
"1101032","date_desc","67","67","0","race","0"
"1101032","date_desc","67","67","0","sexual_minorities","0"
"1101032","date_desc","67","67","0","kids","2"
"1101032","date_desc","67","67","0","elderly","33"
"1101032","date_desc","67","67","0","women","11"
"1101032","date_desc","67","67","0","non_us","7"
"933496","date_desc","259","200","0","race","0"
"933496","date_desc","259","200","0","sexual_minorities","0"
"933496","date_desc","259","200","0","kids","28"
"933496","date_desc","259","200","0","elderly","101"
"933496","date_desc","259","200","0","women","12"
